/home/server/WSN-Projects/riot-exercises/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-server" -rn "2025-07-10_16.24.59-pkt_logger-feather-nrf52840-sense"  
2025-07-10 16:24:59,423 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-10 16:25:00,428 # shell: command not found: r
> 2025-07-10 16:25:00,429 # 
> 2025-07-10 16:25:09,445 # main(): This is Rr
2025-07-10 16:25:09,446 # shell: command not found: main():
> 2025-07-10 16:25:09,446 # 
> 2025-07-10 16:25:09,446 # status
2025-07-10 16:25:09,447 # Targets (0):
2025-07-10 16:25:09,447 # Sender running: false
2025-07-10 16:29:52,145 # -75,72
2025-07-10 16:29:52,246 # -74,76
2025-07-10 16:29:52,345 # -72,84
2025-07-10 16:29:52,446 # -72,84
2025-07-10 16:29:52,547 # -72,84
2025-07-10 16:29:52,647 # -71,88
2025-07-10 16:29:52,747 # -70,92
2025-07-10 16:29:52,862 # -70,92
2025-07-10 16:29:52,950 # -73,80
2025-07-10 16:29:53,050 # -74,76
2025-07-10 16:29:53,151 # -73,80
2025-07-10 16:29:53,251 # -73,80
2025-07-10 16:29:53,352 # -74,76
2025-07-10 16:29:53,453 # -75,72
2025-07-10 16:29:53,553 # -74,76
2025-07-10 16:29:53,653 # -77,64
2025-07-10 16:29:53,753 # -73,80
2025-07-10 16:29:53,853 # -73,80
2025-07-10 16:29:53,956 # -73,80
2025-07-10 16:29:54,055 # -74,76
2025-07-10 16:29:54,156 # -73,80
2025-07-10 16:29:54,258 # -76,68
2025-07-10 16:29:54,356 # -74,76
2025-07-10 16:29:54,458 # -76,68
2025-07-10 16:29:54,558 # -73,80
2025-07-10 16:29:54,659 # -72,84
2025-07-10 16:29:54,758 # -72,84
2025-07-10 16:29:54,859 # -72,84
2025-07-10 16:29:54,962 # -72,84
2025-07-10 16:29:55,061 # -73,80
2025-07-10 16:29:55,162 # -73,80
2025-07-10 16:29:55,262 # -73,80
2025-07-10 16:29:55,362 # -72,84
2025-07-10 16:29:55,463 # -72,84
2025-07-10 16:29:55,563 # -71,88
2025-07-10 16:29:55,666 # -72,84
2025-07-10 16:29:55,766 # -71,88
2025-07-10 16:29:55,865 # -71,88
2025-07-10 16:29:55,967 # -71,88
2025-07-10 16:29:56,068 # -72,84
2025-07-10 16:29:56,167 # -73,80
2025-07-10 16:29:56,268 # -72,84
2025-07-10 16:29:56,369 # -73,80
2025-07-10 16:29:56,475 # -74,76
2025-07-10 16:29:56,570 # -73,80
2025-07-10 16:29:56,669 # -71,88
2025-07-10 16:29:56,771 # -71,88
2025-07-10 16:29:56,872 # -71,88
2025-07-10 16:29:56,973 # -70,92
2025-07-10 16:29:57,071 # -70,92
2025-07-10 16:29:57,172 # -70,92
2025-07-10 16:29:57,273 # -70,92
2025-07-10 16:29:57,374 # -70,92
2025-07-10 16:29:57,475 # -70,92
2025-07-10 16:29:57,575 # -70,92
2025-07-10 16:29:57,675 # -70,92
2025-07-10 16:29:57,777 # -70,92
2025-07-10 16:29:57,876 # -70,92
2025-07-10 16:29:57,978 # -71,88
2025-07-10 16:29:58,079 # -71,88
2025-07-10 16:29:58,180 # -71,88
2025-07-10 16:29:58,186 # -71,88
2025-07-10 16:29:58,279 # -70,92
2025-07-10 16:29:58,379 # -70,92
2025-07-10 16:29:58,480 # -70,92
2025-07-10 16:29:58,581 # -70,92
2025-07-10 16:29:58,683 # -69,96
2025-07-10 16:29:58,784 # -69,96
2025-07-10 16:29:58,883 # -69,96
2025-07-10 16:29:58,983 # -69,96
2025-07-10 16:29:59,084 # -69,96
2025-07-10 16:29:59,184 # -69,96
2025-07-10 16:29:59,286 # -69,96
2025-07-10 16:29:59,385 # -69,96
2025-07-10 16:29:59,487 # -70,92
2025-07-10 16:29:59,586 # -69,96
2025-07-10 16:29:59,689 # -69,96
2025-07-10 16:29:59,789 # -69,96
2025-07-10 16:29:59,888 # -69,96
2025-07-10 16:29:59,994 # -69,96
2025-07-10 16:30:00,090 # -69,96
2025-07-10 16:30:00,190 # -69,96
2025-07-10 16:30:00,292 # -69,96
2025-07-10 16:30:00,392 # -69,96
2025-07-10 16:30:00,492 # -69,96
2025-07-10 16:30:00,593 # -69,96
2025-07-10 16:30:00,694 # -69,96
2025-07-10 16:30:00,793 # -70,92
2025-07-10 16:30:00,795 # -70,92
2025-07-10 16:30:00,894 # -70,92
2025-07-10 16:30:00,996 # -70,92
2025-07-10 16:30:01,096 # -70,92
2025-07-10 16:30:01,196 # -70,92
2025-07-10 16:30:01,296 # -70,92
2025-07-10 16:30:01,398 # -70,92
2025-07-10 16:30:01,498 # -70,92
2025-07-10 16:30:01,597 # -70,92
2025-07-10 16:30:01,698 # -70,92
2025-07-10 16:30:01,800 # -70,92
2025-07-10 16:30:01,900 # -70,92
2025-07-10 16:30:02,001 # -69,96
2025-07-10 16:30:02,100 # -69,96
2025-07-10 16:30:02,201 # -69,96
2025-07-10 16:30:02,302 # -69,96
2025-07-10 16:30:02,403 # -69,96
2025-07-10 16:30:02,503 # -69,96
2025-07-10 16:30:02,605 # -70,92
2025-07-10 16:30:02,704 # -69,96
2025-07-10 16:30:02,806 # -70,92
2025-07-10 16:30:02,813 # -70,92
2025-07-10 16:30:02,907 # -70,92
2025-07-10 16:30:03,006 # -70,92
2025-07-10 16:30:03,107 # -70,92
2025-07-10 16:30:03,207 # -70,92
2025-07-10 16:30:03,308 # -70,92
2025-07-10 16:30:03,413 # -71,88
2025-07-10 16:30:03,509 # -70,92
2025-07-10 16:30:03,611 # -70,92
2025-07-10 16:30:03,709 # -70,92
2025-07-10 16:30:03,811 # -70,92
2025-07-10 16:30:03,911 # -70,92
2025-07-10 16:30:04,012 # -70,92
2025-07-10 16:30:04,111 # -70,92
2025-07-10 16:30:04,212 # -70,92
2025-07-10 16:30:04,314 # -70,92
2025-07-10 16:30:04,413 # -70,92
2025-07-10 16:30:04,516 # -70,92
2025-07-10 16:30:04,616 # -70,92
2025-07-10 16:30:04,717 # -69,96
2025-07-10 16:30:04,817 # -69,96
2025-07-10 16:30:04,918 # -69,96
2025-07-10 16:30:05,018 # -69,96
2025-07-10 16:30:05,119 # -68,100
2025-07-10 16:30:05,219 # -67,104
2025-07-10 16:30:05,320 # -69,96
2025-07-10 16:30:05,421 # -70,92
2025-07-10 16:30:05,520 # -70,92
2025-07-10 16:30:05,624 # -70,92
2025-07-10 16:30:05,722 # -68,100
2025-07-10 16:30:05,823 # -68,100
2025-07-10 16:30:05,922 # -71,88
2025-07-10 16:30:06,024 # -70,92
2025-07-10 16:30:06,027 # -70,92
2025-07-10 16:30:06,123 # -69,96
2025-07-10 16:30:06,224 # -71,88
2025-07-10 16:30:06,324 # -70,92
2025-07-10 16:30:06,426 # -72,84
2025-07-10 16:30:06,526 # -74,76
2025-07-10 16:30:06,627 # -75,72
2025-07-10 16:30:06,726 # -76,68
2025-07-10 16:30:06,829 # -72,84
2025-07-10 16:30:06,929 # -73,80
2025-07-10 16:30:07,030 # -71,88
2025-07-10 16:30:07,130 # -71,88
2025-07-10 16:30:07,233 # -73,80
2025-07-10 16:30:07,330 # -73,80
2025-07-10 16:30:07,432 # -72,84
2025-07-10 16:30:07,532 # -73,80
2025-07-10 16:30:07,631 # -72,84
2025-07-10 16:30:07,734 # -70,92
2025-07-10 16:30:07,832 # -72,84
2025-07-10 16:30:07,935 # -73,80
2025-07-10 16:30:08,040 # -74,76
2025-07-10 16:30:08,136 # -73,80
2025-07-10 16:30:08,235 # -73,80
2025-07-10 16:30:08,337 # -73,80
2025-07-10 16:30:08,438 # -73,80
2025-07-10 16:30:08,539 # -71,88
2025-07-10 16:30:08,638 # -71,88
2025-07-10 16:30:08,738 # -73,80
2025-07-10 16:30:08,840 # -73,80
2025-07-10 16:30:08,940 # -72,84
2025-07-10 16:30:09,039 # -74,76
2025-07-10 16:30:09,142 # -73,80
2025-07-10 16:30:09,242 # -73,80
2025-07-10 16:30:09,341 # -72,84
2025-07-10 16:30:09,442 # -73,80
2025-07-10 16:30:09,542 # -73,80
2025-07-10 16:30:09,642 # -74,76
2025-07-10 16:30:09,745 # -74,76
2025-07-10 16:30:09,844 # -74,76
2025-07-10 16:30:09,946 # -75,72
2025-07-10 16:30:10,047 # -74,76
2025-07-10 16:30:10,147 # -75,72
2025-07-10 16:30:10,250 # -74,76
2025-07-10 16:30:10,347 # -74,76
2025-07-10 16:30:10,449 # -74,76
2025-07-10 16:30:10,549 # -75,72
2025-07-10 16:30:10,650 # -76,68
2025-07-10 16:30:10,751 # -75,72
2025-07-10 16:30:10,850 # -74,76
2025-07-10 16:30:10,952 # -74,76
2025-07-10 16:30:11,055 # -73,80
2025-07-10 16:30:11,153 # -74,76
2025-07-10 16:30:11,256 # -74,76
2025-07-10 16:30:11,354 # -74,76
2025-07-10 16:30:11,453 # -74,76
2025-07-10 16:30:11,555 # -74,76
2025-07-10 16:30:11,656 # -73,80
2025-07-10 16:30:11,755 # -74,76
2025-07-10 16:30:11,857 # -74,76
2025-07-10 16:30:11,958 # -74,76
2025-07-10 16:30:12,057 # -74,76
2025-07-10 16:30:12,157 # -74,76
2025-07-10 16:30:12,259 # -74,76
2025-07-10 16:30:12,358 # -75,72
2025-07-10 16:30:12,459 # -76,68
2025-07-10 16:30:12,559 # -76,68
2025-07-10 16:30:12,661 # -75,72
2025-07-10 16:30:12,762 # -74,76
2025-07-10 16:30:12,863 # -74,76
2025-07-10 16:30:12,962 # -75,72
2025-07-10 16:30:13,062 # -74,76
2025-07-10 16:30:13,164 # -74,76
2025-07-10 16:30:13,263 # -76,68
2025-07-10 16:30:13,363 # -75,72
2025-07-10 16:30:13,465 # -75,72
2025-07-10 16:30:13,565 # -74,76
2025-07-10 16:30:13,668 # -73,80
2025-07-10 16:30:13,767 # -73,80
2025-07-10 16:30:13,868 # -73,80
2025-07-10 16:30:13,967 # -72,84
2025-07-10 16:30:14,070 # -72,84
2025-07-10 16:30:14,169 # -72,84
2025-07-10 16:30:14,271 # -72,84
2025-07-10 16:30:14,371 # -71,88
2025-07-10 16:30:14,471 # -71,88
2025-07-10 16:30:14,572 # -72,84
2025-07-10 16:30:14,680 # -72,84
2025-07-10 16:30:14,773 # -72,84
2025-07-10 16:30:14,874 # -72,84
2025-07-10 16:30:14,979 # -72,84
2025-07-10 16:30:15,075 # -72,84
2025-07-10 16:30:15,175 # -73,80
2025-07-10 16:30:15,275 # -73,80
2025-07-10 16:30:15,377 # -72,84
2025-07-10 16:30:15,477 # -73,80
2025-07-10 16:30:15,577 # -72,84
2025-07-10 16:30:15,678 # -72,84
2025-07-10 16:30:15,785 # -72,84
2025-07-10 16:30:15,879 # -72,84
2025-07-10 16:30:15,979 # -73,80
2025-07-10 16:30:15,982 # -72,84
2025-07-10 16:30:16,080 # -72,84
2025-07-10 16:30:16,180 # -72,84
2025-07-10 16:30:16,282 # -73,80
2025-07-10 16:30:16,382 # -73,80
2025-07-10 16:30:16,482 # -72,84
2025-07-10 16:30:16,584 # -72,84
2025-07-10 16:30:16,688 # -72,84
2025-07-10 16:30:16,783 # -73,80
2025-07-10 16:30:16,891 # -72,84
2025-07-10 16:30:16,985 # -72,84
2025-07-10 16:30:17,086 # -72,84
2025-07-10 16:30:17,187 # -72,84
2025-07-10 16:30:17,287 # -72,84
2025-07-10 16:30:17,388 # -73,80
2025-07-10 16:30:17,488 # -73,80
2025-07-10 16:30:17,490 # -73,80
2025-07-10 16:30:17,494 # -73,80
2025-07-10 16:30:17,588 # -74,76
2025-07-10 16:30:17,688 # -74,76
2025-07-10 16:30:17,791 # -74,76
2025-07-10 16:30:17,890 # -74,76
2025-07-10 16:30:17,996 # -74,76
2025-07-10 16:30:18,093 # -73,80
2025-07-10 16:30:18,191 # -73,80
2025-07-10 16:30:18,292 # -73,80
2025-07-10 16:30:18,392 # -74,76
2025-07-10 16:30:18,494 # -73,80
2025-07-10 16:30:18,594 # -72,84
2025-07-10 16:30:18,694 # -72,84
2025-07-10 16:30:18,798 # -72,84
2025-07-10 16:30:18,895 # -73,80
2025-07-10 16:30:18,996 # -73,80
2025-07-10 16:30:19,098 # -73,80
2025-07-10 16:30:19,204 # -72,84
2025-07-10 16:30:19,297 # -72,84
2025-07-10 16:30:19,299 # -72,84
2025-07-10 16:30:19,405 # -74,76
2025-07-10 16:30:19,500 # -72,84
2025-07-10 16:30:19,601 # -71,88
2025-07-10 16:30:19,700 # -72,84
2025-07-10 16:30:19,802 # -73,80
2025-07-10 16:30:19,903 # -74,76
2025-07-10 16:30:20,010 # -73,80
2025-07-10 16:30:20,014 # -73,80
2025-07-10 16:30:20,104 # -73,80
2025-07-10 16:30:20,203 # -74,76
2025-07-10 16:30:20,303 # -74,76
2025-07-10 16:30:20,405 # -73,80
2025-07-10 16:30:20,505 # -73,80
2025-07-10 16:30:20,606 # -73,80
2025-07-10 16:30:20,707 # -73,80
2025-07-10 16:30:20,806 # -73,80
2025-07-10 16:30:20,906 # -73,80
2025-07-10 16:30:21,007 # -73,80
2025-07-10 16:30:21,114 # -73,80
2025-07-10 16:30:21,209 # -74,76
2025-07-10 16:30:21,310 # -73,80
2025-07-10 16:30:21,411 # -70,92
2025-07-10 16:30:21,511 # -72,84
2025-07-10 16:30:21,612 # -72,84
2025-07-10 16:30:21,712 # -71,88
2025-07-10 16:30:21,813 # -71,88
2025-07-10 16:30:21,914 # -72,84
2025-07-10 16:30:22,013 # -73,80
2025-07-10 16:30:22,114 # -73,80
2025-07-10 16:30:22,214 # -73,80
2025-07-10 16:30:22,316 # -74,76
2025-07-10 16:30:22,419 # -73,80
2025-07-10 16:30:22,516 # -73,80
2025-07-10 16:30:22,616 # -74,76
2025-07-10 16:30:22,718 # -75,72
2025-07-10 16:30:22,817 # -74,76
2025-07-10 16:30:22,918 # -74,76
2025-07-10 16:30:23,018 # -75,72
2025-07-10 16:30:23,121 # -74,76
2025-07-10 16:30:23,219 # -75,72
2025-07-10 16:30:23,322 # -75,72
2025-07-10 16:30:23,423 # -73,80
2025-07-10 16:30:23,525 # -73,80
2025-07-10 16:30:23,627 # -72,84
2025-07-10 16:30:23,724 # -72,84
2025-07-10 16:30:23,823 # -72,84
2025-07-10 16:30:23,923 # -71,88
2025-07-10 16:30:24,028 # -72,84
2025-07-10 16:30:24,126 # -73,80
2025-07-10 16:30:24,226 # -72,84
2025-07-10 16:30:24,327 # -71,88
2025-07-10 16:30:24,426 # -72,84
2025-07-10 16:30:24,528 # -72,84
2025-07-10 16:30:24,629 # -72,84
2025-07-10 16:30:24,730 # -72,84
2025-07-10 16:30:24,829 # -72,84
2025-07-10 16:30:24,929 # -72,84
2025-07-10 16:30:25,035 # -72,84
2025-07-10 16:30:25,132 # -72,84
2025-07-10 16:30:25,135 # -72,84
2025-07-10 16:30:25,232 # -72,84
2025-07-10 16:30:25,332 # -72,84
2025-07-10 16:30:25,432 # -72,84
2025-07-10 16:30:25,535 # -71,88
2025-07-10 16:30:25,635 # -71,88
2025-07-10 16:30:25,734 # -72,84
2025-07-10 16:30:25,839 # -72,84
2025-07-10 16:30:25,940 # -72,84
2025-07-10 16:30:26,037 # -72,84
2025-07-10 16:30:26,136 # -72,84
2025-07-10 16:30:26,140 # -72,84
2025-07-10 16:30:26,240 # -72,84
2025-07-10 16:30:26,339 # -72,84
2025-07-10 16:30:26,439 # -72,84
2025-07-10 16:30:26,540 # -73,80
2025-07-10 16:30:26,641 # -73,80
2025-07-10 16:30:26,745 # -73,80
2025-07-10 16:30:26,843 # -72,84
2025-07-10 16:30:26,942 # -72,84
2025-07-10 16:30:27,041 # -72,84
2025-07-10 16:30:27,144 # -73,80
2025-07-10 16:30:27,242 # -73,80
2025-07-10 16:30:27,343 # -73,80
2025-07-10 16:30:27,348 # -73,80
2025-07-10 16:30:27,445 # -73,80
2025-07-10 16:30:27,545 # -73,80
2025-07-10 16:30:27,645 # -72,84
2025-07-10 16:30:27,749 # -72,84
2025-07-10 16:30:27,751 # -72,84
2025-07-10 16:30:27,847 # -72,84
2025-07-10 16:30:27,947 # -72,84
2025-07-10 16:30:28,047 # -71,88
2025-07-10 16:30:28,154 # -71,88
2025-07-10 16:30:28,250 # -71,88
2025-07-10 16:30:28,350 # -72,84
2025-07-10 16:30:28,449 # -71,88
2025-07-10 16:30:28,550 # -72,84
2025-07-10 16:30:28,651 # -71,88
2025-07-10 16:30:28,752 # -72,84
2025-07-10 16:30:28,859 # -72,84
2025-07-10 16:30:28,952 # -72,84
2025-07-10 16:30:29,052 # -72,84
2025-07-10 16:30:29,153 # -72,84
2025-07-10 16:30:29,254 # -74,76
2025-07-10 16:30:29,354 # -73,80
2025-07-10 16:30:29,456 # -73,80
2025-07-10 16:30:29,564 # -72,84
2025-07-10 16:30:29,657 # -73,80
2025-07-10 16:30:29,758 # -74,76
2025-07-10 16:30:29,864 # -73,80
2025-07-10 16:30:29,958 # -72,84
2025-07-10 16:30:30,059 # -72,84
2025-07-10 16:30:30,159 # -71,88
2025-07-10 16:30:30,261 # -72,84
2025-07-10 16:30:30,364 # -71,88
2025-07-10 16:30:30,370 # -71,88
2025-07-10 16:30:30,462 # -71,88
2025-07-10 16:30:30,562 # -71,88
2025-07-10 16:30:30,661 # -72,84
2025-07-10 16:30:30,762 # -72,84
2025-07-10 16:30:30,864 # -73,80
2025-07-10 16:30:30,964 # -72,84
2025-07-10 16:30:31,064 # -72,84
2025-07-10 16:30:31,164 # -74,76
2025-07-10 16:30:31,266 # -73,80
2025-07-10 16:30:31,367 # -73,80
2025-07-10 16:30:31,467 # -74,76
2025-07-10 16:30:31,567 # -74,76
2025-07-10 16:30:31,667 # -72,84
2025-07-10 16:30:31,770 # -74,76
2025-07-10 16:30:31,869 # -73,80
2025-07-10 16:30:31,971 # -74,76
2025-07-10 16:30:32,070 # -72,84
2025-07-10 16:30:32,172 # -73,80
2025-07-10 16:30:32,274 # -72,84
2025-07-10 16:30:32,372 # -73,80
2025-07-10 16:30:32,476 # -73,80
2025-07-10 16:30:32,574 # -74,76
2025-07-10 16:30:32,674 # -73,80
2025-07-10 16:30:32,779 # -73,80
2025-07-10 16:30:32,875 # -71,88
2025-07-10 16:30:32,975 # -73,80
2025-07-10 16:30:33,076 # -74,76
2025-07-10 16:30:33,177 # -75,72
2025-07-10 16:30:33,284 # -76,68
2025-07-10 16:30:33,378 # -78,60
2025-07-10 16:30:33,478 # -76,68
2025-07-10 16:30:33,578 # -76,68
2025-07-10 16:30:33,678 # -74,76
2025-07-10 16:30:33,781 # -73,80
2025-07-10 16:30:33,883 # -73,80
2025-07-10 16:30:33,981 # -74,76
2025-07-10 16:30:34,082 # -73,80
2025-07-10 16:30:34,181 # -72,84
2025-07-10 16:30:34,284 # -71,88
2025-07-10 16:30:34,383 # -71,88
2025-07-10 16:30:34,485 # -72,84
2025-07-10 16:30:34,585 # -72,84
2025-07-10 16:30:34,686 # -72,84
2025-07-10 16:30:34,787 # -73,80
2025-07-10 16:30:34,886 # -72,84
2025-07-10 16:30:34,987 # -71,88
2025-07-10 16:30:35,097 # -71,88
2025-07-10 16:30:35,188 # -71,88
2025-07-10 16:30:35,288 # -71,88
2025-07-10 16:30:35,389 # -72,84
2025-07-10 16:30:35,489 # -72,84
2025-07-10 16:30:35,596 # -74,76
2025-07-10 16:30:35,706 # -72,84
2025-07-10 16:30:35,791 # -73,80
2025-07-10 16:30:35,892 # -72,84
2025-07-10 16:30:35,993 # -73,80
2025-07-10 16:30:36,093 # -74,76
2025-07-10 16:30:36,193 # -73,80
2025-07-10 16:30:36,295 # -72,84
2025-07-10 16:30:36,394 # -71,88
2025-07-10 16:30:36,502 # -71,88
2025-07-10 16:30:36,596 # -71,88
2025-07-10 16:30:36,600 # -71,88
2025-07-10 16:30:36,703 # -72,84
2025-07-10 16:30:36,804 # -72,84
2025-07-10 16:30:36,899 # -71,88
2025-07-10 16:30:36,998 # -71,88
2025-07-10 16:30:37,098 # -72,84
2025-07-10 16:30:37,210 # -72,84
2025-07-10 16:30:37,301 # -72,84
2025-07-10 16:30:37,401 # -71,88
2025-07-10 16:30:37,502 # -72,84
2025-07-10 16:30:37,601 # -73,80
2025-07-10 16:30:37,703 # -72,84
2025-07-10 16:30:37,802 # -71,88
2025-07-10 16:30:37,904 # -71,88
2025-07-10 16:30:38,005 # -72,84
2025-07-10 16:30:38,105 # -73,80
2025-07-10 16:30:38,205 # -70,92
2025-07-10 16:30:38,305 # -71,88
2025-07-10 16:30:38,406 # -71,88
2025-07-10 16:30:38,515 # -72,84
2025-07-10 16:30:38,607 # -72,84
2025-07-10 16:30:38,709 # -72,84
2025-07-10 16:30:38,809 # -71,88
2025-07-10 16:30:38,909 # -71,88
2025-07-10 16:30:39,010 # -71,88
2025-07-10 16:30:39,111 # -71,88
2025-07-10 16:30:39,212 # -71,88
2025-07-10 16:30:39,313 # -71,88
2025-07-10 16:30:39,412 # -70,92
2025-07-10 16:30:39,513 # -70,92
2025-07-10 16:30:39,613 # -70,92
2025-07-10 16:30:39,714 # -70,92
2025-07-10 16:30:39,813 # -70,92
2025-07-10 16:30:39,914 # -70,92
2025-07-10 16:30:40,014 # -71,88
2025-07-10 16:30:40,116 # -71,88
2025-07-10 16:30:40,216 # -72,84
2025-07-10 16:30:40,318 # -72,84
2025-07-10 16:30:40,418 # -72,84
2025-07-10 16:30:40,521 # -72,84
2025-07-10 16:30:40,526 # -73,80
2025-07-10 16:30:40,620 # -72,84
2025-07-10 16:30:40,720 # -72,84
2025-07-10 16:30:40,821 # -72,84
2025-07-10 16:30:40,919 # -72,84
2025-07-10 16:30:41,022 # -71,88
2025-07-10 16:30:41,121 # -71,88
2025-07-10 16:30:41,222 # -71,88
2025-07-10 16:30:41,322 # -71,88
2025-07-10 16:30:41,424 # -71,88
2025-07-10 16:30:41,523 # -71,88
2025-07-10 16:30:41,632 # -71,88
2025-07-10 16:30:41,726 # -70,92
2025-07-10 16:30:41,827 # -71,88
2025-07-10 16:30:41,927 # -71,88
2025-07-10 16:30:42,028 # -71,88
2025-07-10 16:30:42,128 # -71,88
2025-07-10 16:30:42,227 # -71,88
2025-07-10 16:30:42,328 # -71,88
2025-07-10 16:30:42,429 # -71,88
2025-07-10 16:30:42,530 # -71,88
2025-07-10 16:30:42,629 # -70,92
2025-07-10 16:30:42,731 # -70,92
2025-07-10 16:30:42,832 # -70,92
2025-07-10 16:30:42,933 # -70,92
2025-07-10 16:30:43,033 # -70,92
2025-07-10 16:30:43,133 # -70,92
2025-07-10 16:30:43,234 # -70,92
2025-07-10 16:30:43,333 # -70,92
2025-07-10 16:30:43,435 # -70,92
2025-07-10 16:30:43,536 # -70,92
2025-07-10 16:30:43,635 # -70,92
2025-07-10 16:30:43,737 # -70,92
2025-07-10 16:30:43,837 # -70,92
2025-07-10 16:30:43,939 # -71,88
2025-07-10 16:30:44,039 # -71,88
2025-07-10 16:30:44,138 # -71,88
2025-07-10 16:30:44,238 # -71,88
2025-07-10 16:30:44,339 # -70,92
2025-07-10 16:30:44,439 # -71,88
2025-07-10 16:30:44,541 # -71,88
2025-07-10 16:30:44,642 # -71,88
2025-07-10 16:30:44,741 # -70,92
2025-07-10 16:30:44,843 # -71,88
2025-07-10 16:30:44,944 # -71,88
2025-07-10 16:30:45,044 # -70,92
2025-07-10 16:30:45,144 # -70,92
2025-07-10 16:30:45,245 # -70,92
2025-07-10 16:30:45,345 # -70,92
2025-07-10 16:30:45,447 # -71,88
2025-07-10 16:30:45,547 # -70,92
2025-07-10 16:30:45,646 # -71,88
2025-07-10 16:30:45,747 # -71,88
2025-07-10 16:30:45,847 # -71,88
2025-07-10 16:30:45,948 # -71,88
2025-07-10 16:30:46,049 # -71,88
2025-07-10 16:30:46,149 # -71,88
2025-07-10 16:30:46,152 # -71,88
2025-07-10 16:30:46,250 # -70,92
2025-07-10 16:30:46,352 # -70,92
2025-07-10 16:30:46,452 # -71,88
2025-07-10 16:30:46,553 # -71,88
2025-07-10 16:30:46,652 # -71,88
2025-07-10 16:30:46,752 # -71,88
2025-07-10 16:30:46,855 # -71,88
2025-07-10 16:30:46,955 # -72,84
2025-07-10 16:30:47,055 # -72,84
2025-07-10 16:30:47,156 # -72,84
2025-07-10 16:30:47,257 # -72,84
2025-07-10 16:30:47,357 # -72,84
2025-07-10 16:30:47,456 # -72,84
2025-07-10 16:30:47,558 # -72,84
2025-07-10 16:30:47,658 # -72,84
2025-07-10 16:30:47,760 # -72,84
2025-07-10 16:30:47,860 # -72,84
2025-07-10 16:30:47,960 # -72,84
2025-07-10 16:30:48,059 # -72,84
2025-07-10 16:30:48,161 # -71,88
2025-07-10 16:30:48,261 # -72,84
2025-07-10 16:30:48,361 # -72,84
2025-07-10 16:30:48,463 # -72,84
2025-07-10 16:30:48,562 # -71,88
2025-07-10 16:30:48,664 # -71,88
2025-07-10 16:30:48,764 # -71,88
2025-07-10 16:30:48,866 # -71,88
2025-07-10 16:30:48,966 # -71,88
2025-07-10 16:30:49,065 # -70,92
2025-07-10 16:30:49,166 # -70,92
2025-07-10 16:30:49,268 # -70,92
2025-07-10 16:30:49,368 # -71,88
2025-07-10 16:30:49,467 # -71,88
2025-07-10 16:30:49,570 # -71,88
2025-07-10 16:30:49,670 # -70,92
2025-07-10 16:30:49,769 # -71,88
2025-07-10 16:30:49,872 # -72,84
2025-07-10 16:30:49,971 # -71,88
2025-07-10 16:30:50,072 # -71,88
2025-07-10 16:30:50,173 # -72,84
2025-07-10 16:30:50,273 # -72,84
2025-07-10 16:30:50,373 # -72,84
2025-07-10 16:30:50,475 # -72,84
2025-07-10 16:30:50,574 # -73,80
2025-07-10 16:30:50,675 # -72,84
2025-07-10 16:30:50,777 # -71,88
2025-07-10 16:30:50,875 # -70,92
2025-07-10 16:30:50,978 # -70,92
2025-07-10 16:30:51,078 # -71,88
2025-07-10 16:30:51,179 # -71,88
2025-07-10 16:30:51,279 # -71,88
2025-07-10 16:30:51,379 # -70,92
2025-07-10 16:30:51,480 # -70,92
2025-07-10 16:30:51,580 # -70,92
2025-07-10 16:30:51,682 # -69,96
2025-07-10 16:30:51,782 # -70,92
2025-07-10 16:30:51,883 # -71,88
2025-07-10 16:30:51,984 # -70,92
2025-07-10 16:30:52,083 # -70,92
2025-07-10 16:30:52,184 # -69,96
2025-07-10 16:30:52,284 # -70,92
2025-07-10 16:30:52,386 # -72,84
2025-07-10 16:30:52,486 # -73,80
2025-07-10 16:30:52,585 # -74,76
2025-07-10 16:30:52,688 # -74,76
2025-07-10 16:30:52,787 # -74,76
2025-07-10 16:30:52,889 # -72,84
2025-07-10 16:30:52,989 # -72,84
2025-07-10 16:30:53,089 # -71,88
2025-07-10 16:30:53,191 # -70,92
2025-07-10 16:30:53,291 # -70,92
2025-07-10 16:30:53,390 # -70,92
2025-07-10 16:30:53,492 # -70,92
2025-07-10 16:30:53,591 # -70,92
2025-07-10 16:30:53,691 # -70,92
2025-07-10 16:30:53,792 # -70,92
2025-07-10 16:30:53,892 # -70,92
2025-07-10 16:30:53,993 # -70,92
2025-07-10 16:30:54,096 # -70,92
2025-07-10 16:30:54,098 # -70,92
2025-07-10 16:30:54,196 # -70,92
2025-07-10 16:30:54,296 # -70,92
2025-07-10 16:30:54,396 # -70,92
2025-07-10 16:30:54,497 # -70,92
2025-07-10 16:30:54,597 # -70,92
2025-07-10 16:30:54,697 # -70,92
2025-07-10 16:30:54,799 # -70,92
2025-07-10 16:30:54,900 # -71,88
2025-07-10 16:30:54,999 # -71,88
2025-07-10 16:30:55,101 # -71,88
2025-07-10 16:30:55,202 # -70,92
2025-07-10 16:30:55,301 # -71,88
2025-07-10 16:30:55,403 # -71,88
2025-07-10 16:30:55,503 # -71,88
